,artist_name,track_name,track_id,popularity,genre,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,beat_duration,tatum_duration
1849,IU,Palette (feat. G-DRAGON),3y7ByLZ05tluscOTRgEJ9Y,64,K-Pop,2017,0.804,0.68,0,-3.81,1,0.2,0.458,0.0,0.102,0.62,102.013,217413,4,2.3248147826086956,0.2946512568306011
1850,Sean Paul,Temperature,0k2GOhqsrxDTAbFFSdNJjT,78,Dancehall,2005,0.951,0.6,0,-4.675,0,0.0685,0.106,0.0,0.0712,0.822,125.04,218573,4,1.9331354954954956,0.24009533333333333
1851,Sean Paul,No Lie,48QmG1dfvMuYLxMPt7KSRA,84,Dancehall,2018,0.742,0.882,7,-2.862,1,0.117,0.0466,0.0,0.206,0.463,102.04,221176,4,2.3487140860215057,0.29359665775401067
1852,Omah Lay,Attention,6tTeRmhhuwDl5Y4UiJdHuO,78,Dancehall,2022,0.817,0.72,5,-8.134,0,0.0809,0.172,0.000726,0.109,0.384,119.989,180563,4,2.0006677011494247,0.2501542492917847
1853,WizKid,Essence (feat. Tems),5FG7Tl93LdH117jEKYl3Cm,74,Dancehall,2020,0.849,0.707,0,-6.002,1,0.113,0.0266,8.58e-06,0.618,0.602,104.027,248040,4,2.2799289622641505,0.28824872037914695
1854,Sean Paul,Right Time,7FYZqyXXrhHzekBvBUGCyE,0,Dancehall,2022,0.73,0.823,10,-4.791,0,0.332,0.141,0.0,0.266,0.828,159.007,204453,4,1.4931398507462685,0.18841542056074767
1855,Sean Paul,Calling On Me,6FUGMJWwjL2Bai9xRLoit9,3,Dancehall,2022,0.623,0.891,7,-4.419,0,0.065,0.0159,0.0,0.329,0.64,99.986,218557,4,2.4100437078651686,0.29955712707182325
1856,Sean Paul,She Doesn't Mind - DJ Laszlo Radio Edit,75fsY36JPHq8R2pVEGvo3F,0,Dancehall,2022,0.714,0.924,7,-4.227,1,0.0639,0.00722,0.000324,0.0368,0.592,129.035,250116,4,1.8444020610687022,0.23323740384615385
1857,Sean Paul,Dynamite,0MDeaKyKHITqPUgbw4utmO,2,Dancehall,2022,0.624,0.86,8,-3.012,1,0.124,0.0704,0.0,0.0819,0.816,100.897,212668,4,2.3553987499999995,0.2977834188034188
1858,Pheelz,Finesse,4Gasn91fsCefnN8zM5GjA8,76,Dancehall,2022,0.859,0.551,1,-7.916,0,0.149,0.559,0.0,0.194,0.777,102.049,155293,4,2.35371734375,0.29420446153846147
1859,Sean Paul,Get Busy,5qTvkDrSfvwDv6RBjjcfQr,74,Dancehall,2002,0.735,0.824,10,-4.143,0,0.036,0.615,0.0,0.158,0.726,100.202,211666,4,2.4020722988505745,0.2994111965811966
1860,WizKid,Essence (feat. Justin Bieber & Tems),1mSdbey7RstGLY2udgXv74,69,Dancehall,2021,0.835,0.691,0,-5.828,1,0.113,0.0159,1.44e-05,0.108,0.581,103.999,263289,4,2.282278407079646,0.2884648
1861,Fireboy DML,Peru - Remix,7voSun33hCNkIrjxaj3g47,65,Dancehall,2022,0.966,0.509,7,-7.559,0,0.123,0.496,0.0,0.0799,0.646,108.013,186953,4,2.2389851807228913,0.27819677611940297
1862,Burna Boy,B. D’OR,6NjppcA3Bf0gcq9hrTiHvf,0,Dancehall,2022,0.873,0.658,4,-8.031,0,0.108,0.00858,0.0061,0.0999,0.483,104.033,189800,4,2.299281518987342,0.2883868652037617
1863,Burna Boy,Ye,3FskQrDXcY24ur2fCvz35O,69,Dancehall,2018,0.503,0.592,5,-5.923,0,0.444,0.0181,0.00014,0.169,0.344,201.85,231618,4,1.8964362499999998,0.23730707468879667
1864,Shenseea,Lick (with Megan Thee Stallion),5Q6pQ8G99rjTeCgHTMev7X,62,Dancehall,2022,0.643,0.481,4,-7.078,1,0.551,0.121,0.0,0.073,0.597,85.323,166875,5,2.27172125,0.2841021061643836
1865,Sean Paul,I'm Still in Love with You (feat. Sasha),3MhdH8PxqH1FuQp3HBptUI,69,Dancehall,2002,0.765,0.666,7,-5.384,1,0.172,0.102,0.0,0.116,0.756,87.002,273360,4,2.7528587755102043,0.344986106870229
1866,Popcaan,TWIST & TURN (feat. Drake & PARTYNEXTDOOR),24SDeYAeTFda8OUzVI1VR6,64,Dancehall,2020,0.571,0.747,7,-4.659,1,0.17,0.478,0.0,0.116,0.635,106.253,259651,4,2.266691150442478,0.28321074725274725
1867,Koffee,Toast,7sd72KZS8D59g5NmhxyHpJ,66,Dancehall,2019,0.906,0.638,10,-7.917,0,0.256,0.0342,1.7e-05,0.0725,0.789,99.959,191502,4,2.3734496202531647,0.30143725239616614
1868,WizKid,Mood (feat. Buju),6jdTkoEaer7XNGSblczoSu,68,Dancehall,2021,0.897,0.7,1,-2.776,0,0.117,0.0193,0.009,0.12,0.755,101.944,209760,4,2.287374333333333,0.2941837570621469
1869,Spice,Go Down Deh (feat. Shaggy and Sean Paul),0VzBKgimNRMauaqzT2rEnS,75,Dancehall,2021,0.817,0.8,2,-4.475,1,0.108,0.12,3.9e-05,0.187,0.534,90.016,154667,4,2.6536315789473686,0.3329234934497816
1870,Fireboy DML,Playboy,1Cg51Jk6EoXBQ0KiwzWJfm,68,Dancehall,2022,0.555,0.674,7,-7.81,1,0.132,0.334,1.28e-06,0.0586,0.854,158.829,207475,5,1.4981936956521738,0.18944681901279706
1871,Omah Lay,Understand,6teW0qt23aGnWhC0rSvtoz,69,Dancehall,2021,0.697,0.653,0,-7.284,1,0.102,0.166,0.231,0.0911,0.627,99.982,174545,4,2.459917285714286,0.3041975704225352
1872,Burna Boy,B. D’OR (feat. Wizkid),3ketN3dth18vSJ1T3HIztN,69,Dancehall,2021,0.873,0.658,4,-8.031,0,0.108,0.00858,0.0061,0.0999,0.483,104.033,189800,4,2.299281518987342,0.2883868652037617
1873,Burna Boy,On the Low,1PoJXULCvl03b1fiZmMxmd,71,Dancehall,2019,0.816,0.781,1,-4.237,0,0.0425,0.692,0.00935,0.0835,0.937,99.95,185899,4,2.4001653947368418,0.30006411764705876
1874,Fireboy DML,Peru - R3HAB Remix,3kv0lHXKrW8oltTe7fYbBq,66,Dancehall,2022,0.811,0.762,7,-5.874,0,0.071,0.143,0.000141,0.0904,0.357,121.042,149752,4,1.9668258108108108,0.24756476510067119
